"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City","Location"
"m87r","Hasta La Pasta - Foodle (Seksyen U5)","Asian","4.2","(83)","Shah Alam",""
"lsjj","Sarapan Box","Fried Rice","4.8","(100+)","Shah Alam",""
"j82h","Ikan Bakar Baitul Mahabbah","Seafood","4.8","(46)","Shah Alam",""
"e7s9","Dapoq Utagha","Soups","4.7","(38)","Shah Alam",""
"p7lj","Nasi Raja Salai","Nasi Kukus","4.8","(1000+)","Shah Alam",""
"zrdl","Nismilan Salai House","Malaysian","4.7","(100+)","Shah Alam",""
"gfep","Restoran Mashyur WesThai & Naan","Malaysian","4.8","(22)","Shah Alam",""
"r2jy","D'dapur Cik Dah","Fried Rice","4.4","(100+)","Shah Alam",""
"gxoi","ENA CAFE AND RESTAURANT","Fried Rice","4.5","(500+)","Shah Alam",""
"qc81","Che Mat Roti John & Burger","Burgers","5","(2)","Shah Alam",""
"p7gp","YunHai Kopitiam","Chinese","4.5","(18)","Shah Alam",""
"kpbn","Walaoweh Halal Premium Dumpling (Klang)","Asian","4.4","(81)","Shah Alam",""
"duwr","Nasi lemak resepi ibuku","Malaysian","4.4","(78)","Shah Alam",""
"e2fc","Cherita Cafe Elmina","Pancakes & Waffles","4.6","(100+)","Shah Alam",""
"c5lb","Restoran Elango","0 min","3.8","(1000+)","Shah Alam",""
"ijbx","云吞面Wan Tan Mee@Yunhai Kopitiam","Chinese","4.5","(13)","Shah Alam",""
"nlvm","Khelia Recipe","Cakes","4.8","(100+)","Shah Alam",""
"p1rk","Restoran Ah Lim Noodle House","Noodles","4.4","(100+)","Shah Alam",""
"cw0c","NASI KANDAR BEST ONE","Nasi Kandar","4.5","(100+)","Shah Alam",""
"hxxd","Biduanda Kitchen","Malaysian","1","(1)","Shah Alam",""
"fj74","Pokli Mee Celup & Coconut Shake (Setia Alam)","Malaysian","4.5","(1000+)","Shah Alam",""
"fzal","RESTORAN STS","Malaysian","5","(2)","Shah Alam",""
"sci3","RESTORAN YUGENDRA","Roti Canai","4.4","(500+)","Shah Alam",""
"p5sq","Xiao Chao @ YunHai Kopitiam","Malaysian","4.6","(500+)","Shah Alam",""
"ad7s","Che Na Food","Laksa","4.9","(100)","Shah Alam",""
"a5l0","Cafe Mawaddah","Malaysian","4.5","(56)","Shah Alam",""
"nf4c","Taste For Thought (Kemuning Utama)","Asian","2.7","(23)","Shah Alam",""
"n0ux","Usen CKT","Kuey Teow","4.7","(2000+)","Shah Alam",""
"oj2z","Farm Fruits Supply (Setia Permai)","Malaysian","4.8","(100+)","Shah Alam",""
"cr05","Thai Nine | Siam Kitchen(non halal)","Thai","4","(39)","Shah Alam",""
"b0ce","Urban Masala","Western","4.3","(1000+)","Shah Alam",""
"qd03","Madam Leelas Kitchen & Catering","Indian","4.6","(500+)","Shah Alam",""
"jc5o","Restoran Nasi Kandar Fattaah","Chicken","4.3","(100+)","Shah Alam",""
"t33e","Top Food Industries Sdn Bhd","Healthy","4.4","(4)","Shah Alam",""
"e8mb","Hot'z Char Kuey Teow","Seafood","4.6","(4000+)","Shah Alam",""
