"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City","Location"
"o1ne","Adib Burger (7-11@Bandar Puteri)","Malaysian","4.6","(1000+)","Klang",""
"ibmw","Restoran Abang Botak","Malaysian","4.4","(32)","Klang",""
"cs4l","RESTORAN NASI KANDAR 786","Malaysian","4.3","(82)","Klang",""
"c3n9","Hunger Hub","Fast Food","5","(2)","Klang",""
"x6c3","Burger Buns","Burgers","4.5","(59)","Klang",""
"qd2c","Kampung Burger Johan Setia","Malaysian","4.8","(12)","Klang",""
"u2s3","F & C CONER","Malaysian","2.9","(10)","Klang",""
"w0cd","Hassan Ali Bistro","Roti Canai","4.5","(1000+)","Klang",""
"z2ta","Sky Hadramawt Restaurant","Middle Eastern","3.3","(14)","Klang",""
"ikj7","Fasha Tomyam dan Seafood (Meru 3)","Malaysian","4.5","(500+)","Klang",""
"p0yl","Restoran Cikda Kite","Fried Rice","4.5","(2000+)","Klang",""
"yihv","Ayam Gepuk MAMA (Meru)","Asian","4.5","(100+)","Klang",""
"q6us","Jambatan Amin Seafood","Seafood","4.6","(3000+)","Klang",""
"mqak","Amieda Burger","Burgers","4.9","(100+)","Klang",""
"qcel","hashmi restaurant","Malaysian","4","(100+)","Klang",""
"yqym","RESTORAN SENTOSA BANANA LEAF","Indian","4.6","(100+)","Klang",""
"g4fp","X'treme Kitchen","Indian","4.5","(500+)","Klang",""
"drgo","Restoran Sentosa Sattisorru","Malaysian","4.6","(100+)","Klang",""
"ekd1","CORNER NIGHT STALL","Chicken","4.1","(100+)","Klang",""
"z7zc","BP Stall (Kapar)","Malaysian","4.4","(1000+)","Klang",""
"t1fw","Sosej &Lockhing Bakar","Nasi Kukus","3.7","(100+)","Klang",""
"bgqa","Umaira Tomyam Seafood","Asian","4.8","(71)","Klang",""
"wpsv","Papa Makanan Laut","Fried Rice","4.4","(1000+)","Klang",""
"w6j8","Nasi Kandar Jabbar","Malaysian","4.7","(100+)","Klang",""
"v93i","NASI LEMAK ROYALE KEDAH","Asian","4.7","(100+)","Klang",""
"jlnu","Nasi Kandar Haji Basheer","Asian","4.4","(18)","Klang",""
"h3nt","Khairolseafoodthai","Malaysian","4.7","(1000+)","Klang",""
"v8av","Azie kitchen","Rice Dishes","5","(5)","Klang",""
"c9ng","Sun City Vegetarian Restaurant","Vegetarian","4.6","(1000+)","Klang",""
"phx7","Ucu Burger Cheese Leleh","Chicken","4.8","(100+)","Klang",""
"p64h","KAFE ORKED BAKERY","Malaysian","4.7","(100+)","Klang",""
"slu8","Wafiy Burger (Klang)","Burgers","4.8","(100+)","Klang",""
"p4vq","AJ Western Cafe & Restaurant","Fried Rice","4.2","(2000+)","Klang",""
"naj6","Nasi Lemak D'Singgah","Halal","4","(5)","Klang",""
"pdr6","Artisan Food Corner","Burgers","5","(2)","Klang",""
"flom","Warisan A.I.S","Malaysian","4.5","(5)","Klang",""
"h2oj","Marlina Kitchen","Malaysian","5","(9)","Klang",""
"ih05","Ema’s Places","Malaysian","4.8","(4)","Klang",""
"j1ed","Dapor Kakdelicious","Malaysian","4.6","(500+)","Klang",""
"wh9h","GERAI CIK TIMAH","Burgers","4.8","(100+)","Klang",""
"nnei","Cendol Hijrah","Desserts","4.4","(100+)","Klang",""
"pwek","Restoran Haji Kasim","Roti Canai","4.7","(100+)","Klang",""
"d9sr","Bakso warung Jelita","Malaysian","4.4","(52)","Klang",""
"iq03","Tomyam Mr Mamak (Telok Gadong)","Fried Rice","4.5","(100+)","Klang",""
"u2fw","Warung Bawah Pokok","Malaysian","4.7","(1000+)","Klang",""
"p3oz","Kelip Kelip D'Telok Gadong (Telok Gadong)","Nasi Lemak","4.8","(1000+)","Klang",""
"p2hx","Aman Nasi Kukus","Nasi Kukus","4.7","(500+)","Klang",""
"emcf","Golden Frozen Curry puff","Curry","4.2","(22)","Klang",""
"szgs","Warung Pak Din's","Malaysian","4.4","(73)","Klang",""
"f7vo","RESTORAN DELIMA MERAH HOT SATAY","Roti Canai","4.5","(1000+)","Klang",""
"b1vq","Warung Makngah Lorong Warisan","Malaysian","4.6","(22)","Klang",""
"rj37","Kedai Makan YUNA CAFE","Asian","4.6","(500+)","Klang",""
"gfhc","Sup Meletop Kedah","Chicken","4.8","(1000+)","Klang",""
"v1qs","EDI CANAI","Roti Canai","4.8","(1000+)","Klang",""
"lg7u","Sup Meletop Kedah ( Cawangan Sungai Sireh )","Malaysian","4.7","(84)","Klang",""
"wyxp","Nasi Padang Sungai Udang - Jalan Sungai Udang","0 min","3.7","(7)","Klang",""
"zod8","GKTY - Gang Kou Tang Yuan","Malaysian","4.9","(87)","Klang",""
"z6nz","RUBY KOPITIAM","Fried Rice","4.6","(100+)","Klang",""
"h0vp","Warung mamat roti canai","Roti Canai","4.7","(78)","Klang",""
"b9dg","Ajak Borak Cafe","Malaysian","4.6","(100+)","Klang",""
"d7fl","Laksa Kedah ' TELOQ SEBIJIK '","Asian","4.9","(23)","Klang",""
"t2yd","NASI AYAM FAIZAL","Rice Dishes","4.6","(100+)","Klang",""
"t5jr","Ana Yong Tau Fu 1","Malaysian","4.8","(100+)","Klang",""
"fvvs","J6 Juniors","Burgers","4.8","(27)","Klang",""
"i2mr","A&A Corner","Malaysian","4.7","(500+)","Klang",""
"qxkn","Aisyah Yong Tau Fo","Malaysian","4.6","(100+)","Klang",""
"j9q5","Cendol Warisan Mak Abah","Desserts","4.7","(100+)","Klang",""
"swbr","Royale Street Burger'z","Burgers","4.7","(8)","Klang",""
