"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City","Location"
"o8ey","BlackBall (Kajang)","Asian","4.6","(1000+)","Kajang",""
"c0eu","Dunkin' (Metro Point Kajang)","Bread","4.7","(1000+)","Kajang",""
"q3qp","Nash Bistro (Kajang)","Malaysian","4.4","(3000+)","Kajang",""
"j7lc","Myeongdong Topokki (Metro Point Kajang)","Korean","4.4","(2000+)","Kajang",""
"enzj","Poh Kee Chicken Rice-HH","Chicken Rice","4.5","(100+)","Kajang",""
"gder","THE COFFEE BEAN AND TEA LEAF MKH Boulevard – (MKH)","Beverages","4.6","(64)","Kajang",""
"j8hg","US PIZZA (Kajang)","Pizza","4.6","(100+)","Kajang",""
"n6dj","OldTown (Metropoint Kajang)","Malaysian","4.4","(2000+)","Kajang",""
"lkey","The Brew House (MKH Boulevard, Kajang)","Asian","4.8","(46)","Kajang",""
"hzgg","CHAGEE (Boulevard 2)","Asian","4.9","(500+)","Kajang",""
"g5tl","FOODTRUCK KUNING TAKOYAKI","Takoyaki","4.7","(1000+)","Kajang",""
"pkt7","Cheong Kee Bak Kut Teh - Taman Berjaya Baru [Non-Halal]","Chinese","5","(50)","Kajang",""
"rx2g","Keong Ki Penang Fried Kuey Teow","Kuey Teow","4.2","(100+)","Kajang",""
"d9ua","Vel Restaurant","Roti Canai","4","(100+)","Kajang",""
"iip5","LAHORE KITCHEN","Asian","4.7","(24)","Kajang",""
"s1r5","Hung Kee Pan Mee","Chinese","4.4","(500+)","Kajang",""
"k524","December Bak Kut Teh (Kajang)","Noodles","4.6","(100+)","Kajang",""
"jrjt","Mixue (Metro Point Kajang MXMPKJ-B)","Malaysian","4.8","(100+)","Kajang",""
"b8vn","Cinnamon & Clove Restaurant","Western","4.3","(100+)","Kajang",""
"a53n","Nanies AsamBoi","Malaysian","5","(100+)","Kajang",""
"er3o","Suhaila Classic Tomyam & Seafood","Fried Rice","4.4","(500+)","Kajang",""
"n5se","Face To Face Noodles House (Kajang)","Noodles","4.6","(1000+)","Kajang",""
"ae0j","SDKL FOOD RESOURCES","Asian","4.7","(23)","Kajang",""
"l10s","Xiao Ming Zha Chuan (Taman Kajang Indah)","Chinese","4.6","(49)","Kajang",""
"l2m9","Pak Tam Cendol Dan Laksa","Laksa","4.6","(100+)","Kajang",""
"rtvd","Mother Home Made Pan Mee","Noodles","4.4","(100+)","Kajang",""
"n4rk","The Pari Cafe","Fried Rice","4.6","(2000+)","Kajang",""
"r5ad","deli2go & Costa Coffee (Shell Prima Saujana Kajang)","Bread","4.7","(100+)","Kajang",""
"perc","Famous Big Bowl Pan Mee - Taman Megah (Non Halal)","Noodles","4.9","(66)","Kajang",""
"c9rz","Restoran Naina Maju","Roti Canai","4.6","(500+)","Kajang",""
"jq1n","Aunty Tan Noodles House - Taman Megah Sungai Jelok [Non-Halal]","Noodles","3.4","(34)","Kajang",""
"ik2t","Mother Handmade Pan Mee - Taman Megah (Non Halal)","Noodles","5","(31)","Kajang",""
"gwcy","Dapur Bedeng","Malaysian","4.8","(100+)","Kajang",""
"xyi6","Restoran Dee Nasi Ayam (Kajang)","Chicken","4.7","(1000+)","Kajang",""
"fw92","HIMALAYA COFFEE","Asian","4.1","(23)","Kajang",""
"q3fl","Restoran Rania Thai","Fried Rice","4.4","(500+)","Kajang",""
"gws5","AYAM GUNTING SUBDEPO (KAJANG)","Fried Chicken","4.5","(1000+)","Kajang",""
"o4g3","NASI LEMAK CIK TIMAH (KAJANG)","Nasi Lemak","4.6","(2000+)","Kajang",""
"o1gv","Cool Station (Giant Kajang)","Malaysian","4.7","(100+)","Kajang",""
"yfb0","ABANG MIE TOMYAM & SEAFOD 2","Fried Rice","4.6","(83)","Kajang",""
"o9cp","Jaya D' Curry House","Chicken","4.5","(1000+)","Kajang",""
"o5vh","Red Kitchen Cafe","Chicken Chop","4.5","(100+)","Kajang",""
"dhll","Dilmi Tomyam2 Jalan Bukit Mewa","Thai","4.2","(100+)","Kajang",""
"bb97","Satay Chinese Kajang","Chicken","4.6","(91)","Kajang",""
"km12","Geprek Fateh","Asian","4.8","(100+)","Kajang",""
"s5qu","RESTORAN AL HAYATI","Roti Canai","4","(100+)","Kajang",""
"o5el","Restaurant BLT","Indian","4.5","(2000+)","Kajang",""
"zcoa","I Am Geprek Bensu @ Foodle (Kajang)","Asian","4.3","(17)","Kajang",""
"jvk4","Rumah Nasi Goreng Murah","Fried Rice","4.7","(100+)","Kajang",""
"awxm","Hatyai Thai Cuisine","Asian","4.5","(100+)","Kajang",""
"g6ph","Arabian House Restaurant","Sandwiches","4.7","(1000+)","Kajang",""
"ailh","CHICKEN ROYALE (Kajang)","Asian","4.4","(100+)","Kajang",""
"dazd","Ayam Kunyit Maharaja - Foodle (Kajang)","Asian","3.8","(48)","Kajang",""
"s9uj","Marrybrown (Prima Saujana Kajang)","Rice Dishes","4.6","(10000+)","Kajang",""
"pe05","The Hungry Wok - Foodle (Kajang)","Malaysian","4.5","(67)","Kajang",""
