"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City","Location"
"s7dc","Teppanyaki (IOI City Mall)","Japanese","4.5","(100+)","Putrajaya",""
"n4mk","The Manhattan FISH MARKET (IOI City Mall Putrajaya)","Seafood","4.5","(100+)","Putrajaya",""
"j79u","FryDay's (IOI City Mall)","Fried Chicken","4.3","(17)","Putrajaya",""
"adym","Pasta Rasa @ IOI City Mall","Asian","2.6","(3)","Putrajaya",""
"of7o","Rollney (IOI City Mall)","Cakes","4.7","(5)","Putrajaya",""
"r5hy","Mr. Dakgalbi (IOI City Mall)","Malaysian","4.5","(67)","Putrajaya",""
"cheo","Harvest Kopitiam","International","4.1","(63)","Putrajaya",""
"xxw3","Loong Cafe 小龍冰室 (IOI City Mall Phase 2)","Chinese","5","(1)","Putrajaya",""
"n0yn","Cornery - The Popcorn Gallery (IOI City Mall)","Soups","5","(100+)","Putrajaya",""
"o5pc","KOI Thé (IOI City Mall)","Tea","4.7","(100+)","Putrajaya",""
"n7fu","Street Churros (IOI City Mall)","Snacks","4.8","(100+)","Putrajaya",""
"igba","I Love Yoo! (IOI City Mall)","Chinese","4.5","(91)","Putrajaya",""
"jbo5","Samurai Sushi (IOI City Mall)","Sushi","4.6","(100+)","Putrajaya",""
