"StoreId","storename","FoodType","AverageRating","City","totalcustomer","totalreturningcustomer","totalreview"
k97v,Pasta & Rice Co. EFMC (KL),Italian,2.8,Kuala Lumpur,12,0,12
k9cc,Muhibah Cafe @Bursa Malaysia,Roti Canai,4.9,Kuala Lumpur,7,0,7
k9ok,Thai Yeh Kope,Chinese,4.9,Kuala Lumpur,1,1,2
k9rg,Restoran Seri Manis,Malaysian,4.5,Kuala Lumpur,59,9,74
k9s9,Air Kelapa Original - Jalan Permaisuri,Malaysian,3.4,Kuala Lumpur,1,0,1
katz,NASI TONG MR ASRAFF,Asian,4.0,Kuala Lumpur,1,0,1
kau9,CHEF LIM RESTAURANT,Chicken,4.6,Kuala Lumpur,88,9,98
kavc,MinK.Hub SteakHouse@Canteen,Fried Rice,4.8,Kuala Lumpur,6,0,6
kaxj,Bye Dessert,Desserts,5.0,Kuala Lumpur,1,0,1
kb20,Resepi Ummii,Soups,4.8,Kuala Lumpur,10,2,14
kb49,Warung Padang By The Majapahit (Arcoris Mont Kiara),Chicken,4.6,Kuala Lumpur,38,7,51
kbr6,Wadihana Kitchen & Steakhouse ( Melati),Asian,4.8,Kuala Lumpur,28,1,29
kc3b,i-Kitchen (Sentul),Malaysian,4.6,Kuala Lumpur,2,0,2
kc42,Fast and Yummy,Middle Eastern,4.8,Kuala Lumpur,51,8,62
kcli,UOA2 WESTERN LICIOUS,Western,4.4,Kuala Lumpur,36,5,41
kcrg,GILA GILA YONG TOU FOO (WANGSA MAJU),Noodles,4.0,Kuala Lumpur,3,1,4
kctt,Muiz Hot Chicken Setiawangsa,Fast Food,5.0,Kuala Lumpur,8,0,8
kd14,"Coco Loca, Coconut Shake (Lalaport)",Beverages,4.2,Kuala Lumpur,19,3,23
kd21,An-Nur Pizza,Italian,4.9,Kuala Lumpur,2,0,2
kd2j,A’Decade (KL East Mall),Malaysian,4.9,Kuala Lumpur,5,1,9
kd3b,Lazeez - Arabian Restoran,Middle Eastern,4.5,Kuala Lumpur,11,0,11
kdbh,TWO CENTS,Chicken,4.0,Kuala Lumpur,1,1,2
kdgw,Wingstreet (Berjaya Times Square),Western,3.4,Kuala Lumpur,2,0,2
kduy,Rush Roastery (Bank Rakyat Bangsar),Beverages,4.7,Kuala Lumpur,6,0,6
kenp,SR COFFEE,Beverages,4.7,Kuala Lumpur,15,1,17
kf0o,JomSate.com - Keramat,Chicken,4.7,Kuala Lumpur,11,1,12
