"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City","Location"
"z8zb","Star Village (Kuchai Lama)","Chicken Chop","4.6","(72)","Kuala Lumpur",""
"vfcj","七号冰室 - 旧古仔路 Seven Sips Yogurt | Tea (Kuchai Lama)","Tea","4.3","(52)","Kuala Lumpur",""
"o5xe","Wanida Homecook ala thai K88","Chinese","4.5","(68)","Kuala Lumpur",""
"bptt","Briyani Lentok - Foodle (Kuchai Lama)","Asian","3.9","(4)","Kuala Lumpur",""
"k9s9","Air Kelapa Original - Jalan Permaisuri","Malaysian","3.4","(5)","Kuala Lumpur",""
"n7sd","Gerai Makanan Sivagamy","Indian","4","(500+)","Kuala Lumpur",""
"j1kb","Bak Kut Teh (K88 Foodcourt)","Rice Dishes","4.4","(73)","Kuala Lumpur",""
"kry4","Wantan Mee (Restaurant Kuchai Lama)","Noodles","4.1","(78)","Kuala Lumpur",""
"t5jm","Restoran Ruth 路得面馆","Chinese","4.5","(500+)","Kuala Lumpur",""
"dccc","BiG Tree Hakka Pan Mee","Noodles","4.7","(500+)","Kuala Lumpur",""
"b5d0","京味面馆小吃 Restoran Ming Jie","Chinese","4.6","(8)","Kuala Lumpur",""
"wf4h","Wonder Meal  Kitchen","Healthy","5","(1)","Kuala Lumpur",""
"ksu2","Riz's Cafe Ala Carte @ Menara Duta Pool Side","Malaysian","5","(1)","Kuala Lumpur",""
"y72a","Ali Corner","Malaysian","5","(30)","Kuala Lumpur",""
"mbpd","Biryani Times","Indian","4.8","(35)","Kuala Lumpur",""
"ac4h","Cakoi @ Restaurant Vari Delicious","Dim Sum ","4.4","(100+)","Kuala Lumpur",""
"hnr8","Cool Juicery","Beverages","5","(28)","Kuala Lumpur",""
"xx0w","POK POK CUI FRIED CHICKEN @ LAW FONG CHUAY","Chicken","4.4","(11)","Kuala Lumpur",""
"gd4f","SUP MAMAK (Ali Corner)","Malaysian","4.6","(24)","Kuala Lumpur",""
"gyll","K88 Best Fried Street Food","Fast Food","4.4","(4)","Kuala Lumpur",""
"r4xm","Nasi Ayam Goreng Kunyit Mek","Chicken","4.5","(100+)","Kuala Lumpur",""
"r3aw","Masakan Ala Thai Mek Pah","Malaysian","4.4","(100+)","Kuala Lumpur",""
"ai6w","K88霸王饭 Ba Wang Fan Mix Rice","Chinese","5","(38)","Kuala Lumpur",""
"oey9","Daddy Mummy Char Kuey Tiao @ Kuchai Restoran","Kuey Teow","4.4","(100+)","Kuala Lumpur",""
"i65a","麻哥哥麻辣香锅MABRO MALA HOTPOT (Kuchai Lama)","Chinese","3.7","(18)","Kuala Lumpur",""
